Weather_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sembe,CG,1.6481,14.5806,69.84,94,100,1.83
1,Busselton,AU,-33.65,115.3333,71.85,56,0,9.33
2,Hilo,US,19.7297,-155.09,77.29,82,75,9.22
3,Karlskoga,SE,59.3267,14.5239,7.92,81,1,1.92
4,Atuona,PF,-9.8,-139.0333,78.33,73,18,17.47
5,Kavieng,PG,-2.5744,150.7967,83.28,70,100,5.37
6,Shimoda,JP,34.6667,138.95,58.1,50,0,14.52
7,Leningradskiy,RU,69.3833,178.4167,-12.3,100,98,5.06
8,Buncrana,IE,55.1333,-7.45,39.58,77,100,10.33
9,Bridlington,GB,54.0831,-0.1919,34.14,95,83,10.0
10,Mfou,CM,3.7159,11.6427,66.88,97,100,1.63
11,Port Lincoln,AU,-34.7333,135.8667,61.36,52,6,12.46
12,Hasanabad,IR,36.5465,61.0543,33.98,62,17,3.22
13,Airai,TL,-8.9266,125.4092,76.42,39,99,2.46
14,Hobart,AU,-42.8794,147.3294,55.26,54,75,19.57
15,Vostok,RU,46.4856,135.8833,9.19,79,36,3.76
16,Bluff,NZ,-46.6,168.3333,64.18,64,100,4.27
17,Punta Arenas,CL,-53.15,-70.9167,42.91,65,0,13.8
18,Chokurdakh,RU,70.6333,147.9167,-21.17,98,80,6.4
19,Kaitangata,NZ,-46.2817,169.8464,69.49,50,100,10.36
20,Bredasdorp,ZA,-34.5322,20.0403,60.21,92,92,4.07
21,New Norfolk,AU,-42.7826,147.0587,54.9,50,58,4.0
22,Ushuaia,AR,-54.8,-68.3,34.11,89,10,2.21
23,Carman,CA,49.4992,-98.0016,-5.12,77,11,13.98
24,Ilulissat,GL,69.2167,-51.1,33.82,64,100,18.41
25,Port Alfred,ZA,-33.5906,26.891,68.18,94,100,1.99
26,Hithadhoo,MV,-0.6,73.0833,81.16,76,100,16.55
27,Lompoc,US,34.6391,-120.4579,52.79,87,0,1.01
28,Jamestown,US,42.097,-79.2353,43.02,78,100,6.91
29,Mataura,NZ,-46.1927,168.8643,71.8,48,100,3.38
30,Perth,AU,-31.9333,115.8333,77.18,50,20,12.66
31,Kahului,US,20.8947,-156.47,78.96,77,92,14.0
32,Puerto Ayora,EC,-0.7393,-90.3518,70.56,94,16,3.0
33,Praia,CV,14.9215,-23.5087,74.16,81,51,8.43
34,Rikitea,PF,-23.1203,-134.9692,75.67,80,6,19.04
35,Kichera,RU,55.9375,110.0997,3.85,83,99,2.62
36,Biak,ID,-0.9131,122.8766,82.87,62,81,3.33
37,Hermanus,ZA,-34.4187,19.2345,61.81,89,100,9.66
38,Kapaa,US,22.0752,-159.319,82.38,80,75,17.27
39,Nacala,MZ,-14.5428,40.6728,74.3,93,0,2.95
40,Oktyabrskiy,RU,54.4815,53.471,-5.76,97,12,4.25
41,Radom,PL,51.4025,21.1471,32.27,89,90,13.0
42,Georgetown,MY,5.4112,100.3354,84.13,78,20,5.75
43,Fort Nelson,CA,58.8053,-122.7002,-0.06,84,100,1.99
44,Tautira,PF,-17.7333,-149.15,79.41,82,100,16.69
45,Bethel,US,41.3712,-73.414,57.2,89,100,8.05
46,Sokur,RU,55.2093,83.319,-8.46,96,32,9.44
47,Izhma,RU,65.0083,53.9113,19.99,95,100,7.54
48,Iqaluit,CA,63.7506,-68.5145,13.69,85,100,4.0
49,Blackwater,AU,-23.5833,148.8833,101.08,21,7,13.56
50,Mindif,CM,10.3976,14.4363,69.04,20,100,8.97
51,Castro,BR,-24.7911,-50.0119,64.04,99,21,5.95
52,Sitka,US,57.0531,-135.33,44.49,70,100,12.66
53,Barrow,US,71.2906,-156.7887,14.02,85,100,17.27
54,Saskylakh,RU,71.9167,114.0833,-29.13,100,100,6.29
55,Moindou,NC,-21.6924,165.677,81.46,77,50,6.55
56,Evensk,RU,61.95,159.2333,10.06,95,100,9.26
57,Krasnyy Oktyabr,RU,56.1167,38.8833,14.72,78,69,12.39
58,Port Elizabeth,ZA,-33.918,25.5701,70.11,91,47,8.01
59,Hamilton,US,39.1834,-84.5333,49.98,91,100,8.05
60,Victoria,HK,22.2855,114.1577,69.24,76,13,4.0
61,Zhuhai,CN,22.2769,113.5678,65.98,82,20,14.97
62,Torbay,CA,47.6666,-52.7314,37.76,96,100,3.0
63,Nome,US,64.5011,-165.4064,15.87,86,0,6.91
64,Tirur,IN,10.9,75.9167,70.79,72,96,3.87
65,Mount Isa,AU,-20.7333,139.5,101.97,15,6,5.75
66,Vung Tau,VN,10.346,107.0843,79.03,81,77,5.39
67,Pevek,RU,69.7008,170.3133,-10.43,97,95,2.01
68,Axim,GH,4.8699,-2.2405,78.17,86,80,5.55
69,Lebu,CL,-37.6167,-73.65,60.24,98,100,12.17
70,Dikson,RU,73.5069,80.5464,-13.99,97,98,18.52
71,Sao Filipe,CV,14.8961,-24.4956,74.84,78,21,2.89
72,Cape Town,ZA,-33.9258,18.4232,69.39,72,99,10.0
73,Husavik,IS,66.0449,-17.3389,26.22,70,100,8.86
74,Ende,ID,-8.8432,121.6623,86.31,58,10,4.41
75,Mar Del Plata,AR,-38.0023,-57.5575,75.22,83,40,19.57
76,College,US,64.8569,-147.8028,21.58,90,100,3.44
77,Carnarvon,AU,-24.8667,113.6333,73.89,59,42,14.0
78,Nazareno,MX,25.3833,-103.4167,72.5,44,0,2.66
79,Arraial Do Cabo,BR,-22.9661,-42.0278,73.58,91,0,12.62
80,Bilibino,RU,68.0546,166.4372,-29.42,97,18,4.76
81,Oytal,KZ,42.9057,73.2697,22.21,90,100,2.95
82,Nanortalik,GL,60.1432,-45.2371,25.95,75,93,4.47
83,Stodolishche,RU,54.1859,32.6492,23.95,94,100,15.55
84,Rocha,UY,-34.4833,-54.3333,63.43,79,47,11.05
85,Kirkwall,GB,58.9848,-2.9587,41.05,81,75,25.32
86,Verdun,FR,49.25,5.3333,38.16,95,100,4.65
87,Klaksvik,FO,62.2266,-6.589,32.92,71,100,31.72
88,Puerto Escondido,MX,15.85,-97.0667,79.63,73,0,0.0
89,Poum,NC,-20.2333,164.0167,80.53,77,2,6.11
90,Erenhot,CN,43.6475,111.9767,13.77,56,2,7.25
91,Bafq,IR,31.6128,55.4107,46.09,58,9,2.82
92,Gornopravdinsk,RU,60.05,69.9,1.92,92,40,8.34
93,Waingapu,ID,-9.6567,120.2641,86.36,53,63,5.77
94,Yumen,CN,40.2833,97.2,16.11,78,47,2.95
95,Mocuba,MZ,-16.8392,36.9856,70.57,94,94,1.9
96,Bengkulu,ID,-3.8004,102.2655,80.46,75,88,3.2
97,Grakhovo,RU,56.0502,51.9676,-4.68,99,30,4.97
98,Guerrero Negro,MX,27.9769,-114.0611,61.34,69,0,13.87
99,Tasiilaq,GL,65.6145,-37.6368,23.16,68,39,4.21
100,Fortuna,US,40.5982,-124.1573,48.65,86,100,3.44
101,Clarence Town,AU,-32.5833,151.7833,75.15,21,5,8.86
102,Granja,BR,-3.1203,-40.8261,78.75,78,49,5.77
103,Luderitz,NA,-26.6481,15.1594,57.87,76,0,7.23
104,Tiksi,RU,71.6872,128.8694,-6.88,98,100,11.99
105,Albany,US,42.6001,-73.9662,52.57,87,100,5.99
106,Harper,LR,4.375,-7.7169,77.54,87,30,5.39
107,Bilsanda,IN,28.25,79.95,55.47,57,0,4.63
108,Vaini,TO,-21.2,-175.2,84.36,84,75,4.61
109,Maniitsoq,GL,65.4167,-52.9,33.26,77,100,17.67
110,Tucumcari,US,35.1717,-103.725,48.04,87,0,9.22
111,Berlevag,NO,70.8578,29.0864,35.55,69,100,28.77
112,Kurdzhinovo,RU,43.9884,40.9552,35.24,72,77,4.5
113,Chicama,PE,-7.8447,-79.1469,63.14,82,100,5.19
114,Ambilobe,MG,-13.2,49.05,71.56,89,0,2.37
115,East London,ZA,-33.0153,27.9116,70.09,82,100,11.3
116,Ponta Do Sol,PT,32.6667,-17.1,65.71,82,80,16.35
117,Port Augusta,AU,-32.5,137.7667,70.11,28,0,14.43
118,Half Moon Bay,US,37.4636,-122.4286,52.79,86,0,3.44
119,Isangel,VU,-19.55,169.2667,89.71,70,75,4.61
120,La Rioja,ES,42.25,-2.5,38.98,90,81,6.46
121,Ghanzi,BW,-21.5667,21.7833,72.27,59,5,12.39
122,Mahebourg,MU,-20.4081,57.7,76.24,81,32,19.3
123,Ereymentau,KZ,51.6199,73.1033,-14.98,100,31,3.36
124,Yellowknife,CA,62.456,-114.3525,-21.44,74,25,5.01
125,Marrakesh,MA,31.6315,-8.0083,60.87,63,40,4.61
126,Provideniya,RU,64.3833,-173.3,21.36,63,100,11.01
127,Qaanaaq,GL,77.484,-69.3632,14.38,74,100,3.18
128,Avera,US,33.194,-82.5271,66.54,85,92,5.41
129,Rochegda,RU,62.8,43.25,16.2,83,90,7.99
130,Kudahuvadhoo,MV,2.6708,72.8944,81.3,80,100,13.96
131,Roald,NO,62.5833,6.1333,35.76,93,75,8.05
132,Inhambane,MZ,-23.865,35.3833,75.85,85,23,5.14
133,Severo-Kurilsk,RU,50.6789,156.125,28.44,65,78,20.27
134,Roma,US,43.2128,-75.4557,45.95,96,100,9.22
135,Haines Junction,CA,60.7522,-137.5108,16.52,97,99,1.39
136,Upington,ZA,-28.4478,21.2561,71.92,49,87,8.77
137,Bagru,IN,26.8088,75.5423,52.14,32,0,5.46
138,Katobu,ID,-4.9408,122.5276,87.35,54,91,2.55
139,Konevo,RU,62.1215,39.3192,16.47,83,18,10.18
140,Ribeira Grande,PT,38.5167,-28.7,59.77,82,40,11.01
141,Port Blair,IN,11.6667,92.75,80.37,80,45,7.43
142,Cidreira,BR,-30.1811,-50.2056,69.87,92,5,9.53
143,Bambous Virieux,MU,-20.3428,57.7575,76.21,81,37,19.01
144,Olgod,DK,55.8068,8.6286,30.06,87,100,3.71
145,Faanui,PF,-16.4833,-151.75,80.71,77,100,17.02
146,Mwene-Ditu,CD,-7.0,23.45,62.98,97,100,3.47
147,Ahipara,NZ,-35.1667,173.1667,62.94,82,100,14.56
148,Kodiak,US,57.79,-152.4072,31.51,51,20,29.93
149,Huangchuan,CN,32.1272,115.0394,49.3,64,99,3.0
150,Tomatlan,MX,19.9333,-105.25,71.82,94,0,1.63
151,Binga,ZW,-17.6203,27.3414,73.17,73,100,0.94
152,Pringsewu,ID,-5.3582,104.9744,77.61,89,100,3.8
153,Grand Gaube,MU,-20.0064,57.6608,76.37,75,20,11.01
154,Upernavik,GL,72.7868,-56.1549,24.64,72,100,17.65
155,Taoudenni,ML,22.6783,-3.9836,78.73,14,86,7.92
156,Thompson,CA,55.7435,-97.8558,-7.24,97,100,8.01
157,Portland,US,45.5234,-122.6762,39.81,90,100,5.75
158,Tura,IN,25.5198,90.2201,64.58,77,39,1.77
159,Hangu,CN,39.2489,117.7892,37.44,25,46,4.21
160,Zeya,RU,53.75,127.2667,-4.94,93,35,1.12
161,Sao Domingos,BR,-13.3983,-46.3183,70.92,84,69,2.62
162,Longyearbyen,SJ,78.2186,15.6401,21.04,68,75,12.66
163,Harnosand,SE,62.6323,17.9379,10.4,80,100,11.07
164,Price,US,39.5994,-110.8107,31.26,86,100,0.0
165,Zunyi,CN,27.6867,106.9072,45.72,80,100,0.89
166,Heihe,CN,50.2441,127.4902,5.58,82,5,3.2
167,Jumla,NP,29.2747,82.1838,41.02,19,0,5.44
168,Dunmore Town,BS,25.5,-76.65,75.54,62,0,20.98
169,Sochi,RU,43.6,39.7303,44.69,62,72,4.74
170,Sanming,CN,26.2486,117.6186,57.87,89,98,1.61
171,Colwyn Bay,GB,53.2948,-3.7267,37.9,41,96,5.01
172,Beringovskiy,RU,63.05,179.3167,7.16,85,3,5.3
173,Vardo,NO,70.3705,31.1107,35.58,75,100,25.32
174,Hasaki,JP,35.7333,140.8333,55.29,43,0,8.99
175,Itoman,JP,26.1247,127.6694,75.22,57,40,20.71
176,Zabaykalsk,RU,49.6333,117.3167,5.25,88,36,13.6
177,Kruisfontein,ZA,-34.0033,24.7314,67.89,78,73,5.57
178,Khargone,IN,21.8167,75.6,59.76,42,90,5.82
179,Troina,IT,37.7854,14.5985,43.77,86,97,3.6
180,Gao,ML,16.6362,1.637,71.51,15,0,11.32
181,Abu Dhabi,AE,24.4667,54.3667,73.42,79,0,3.44
182,Puerto Leguizamo,CO,-0.1934,-74.7819,70.68,99,99,2.53
183,Pacific Grove,US,36.6177,-121.9166,51.48,84,0,4.61
184,El Tigre,VE,8.8875,-64.2454,74.8,70,100,6.04
185,Goundam,ML,16.4145,-3.6708,75.76,17,0,7.56
186,Lata,PT,40.1629,-8.3327,54.07,92,100,7.4
187,Pontal Do Parana,BR,-25.6533,-48.5128,72.52,90,94,4.36
188,Teeli,RU,51.0333,90.2333,-9.24,98,100,0.43
189,Lonavale,IN,18.75,73.4167,62.67,70,65,6.38
190,Morant Bay,JM,17.8815,-76.4093,76.71,78,19,16.78
191,Honiara,SB,-9.4333,159.95,84.36,75,90,4.05
192,Brigantine,US,39.4101,-74.3646,57.06,98,100,11.5
193,Lensk,RU,60.7253,114.9278,13.77,93,100,12.66
194,Matara,LK,5.9485,80.5353,77.59,70,100,15.14
195,Adrar,MR,20.5022,-10.0711,77.45,35,49,3.98
196,Bankura,IN,23.25,87.0667,60.94,41,100,5.75
197,Katsuura,JP,35.1333,140.3,56.14,56,0,1.83
198,Trairi,BR,-3.2778,-39.2689,79.83,77,56,12.28
199,Chunhuhub,MX,19.55,-88.6833,70.7,91,1,3.13
200,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.41,94,100,9.31
201,Khandyga,RU,62.6667,135.6,-27.17,99,100,2.3
202,Sawtell,AU,-30.3833,153.1,85.19,69,40,12.66
203,San Andres,CO,12.5847,-81.7006,80.62,78,20,11.5
204,Fare,PF,-16.7,-151.0167,81.1,75,100,16.82
205,Saldanha,ZA,-33.0117,17.9442,62.2,91,35,8.81
206,Bud,US,39.447,-86.1758,43.75,94,100,5.23
207,Faya,SA,18.3851,42.4509,52.32,72,9,1.74
208,Shingu,JP,33.7333,135.9833,56.89,41,6,1.79
209,Mana,GF,5.6592,-53.7767,77.07,89,100,8.63
210,Acapulco,MX,16.8634,-99.8901,80.42,78,0,3.44
211,Olafsvik,IS,64.8945,-23.7142,31.39,65,21,15.97
212,Clonakilty,IE,51.6231,-8.8706,34.81,88,6,8.79
213,Noumea,NC,-22.2763,166.4572,82.99,99,54,11.12
214,San Cristobal,VE,7.7669,-72.225,66.38,95,73,2.82
215,Butaritari,KI,3.0707,172.7902,80.58,79,96,13.06
216,Letterkenny,IE,54.95,-7.7333,40.5,77,100,8.05
217,Norman Wells,CA,65.282,-126.8329,-19.98,86,90,7.52
218,Paysandu,UY,-32.3214,-58.0756,81.88,24,7,11.34
219,Shahr-E Babak,IR,30.1165,55.1186,42.48,89,39,1.92
220,Tigil,RU,57.8,158.6667,18.7,94,100,4.79
221,Dwarka,IN,22.2394,68.9678,72.73,57,0,9.13
222,Bathsheba,BB,13.2167,-59.5167,77.05,87,20,6.91
223,Fernie,CA,49.5,-115.0687,12.61,98,100,1.48
224,Asfi,MA,32.2994,-9.2372,68.05,62,100,26.96
225,Muswellbrook,AU,-32.2667,150.9,78.42,20,5,12.46
226,Oltu,TR,40.5498,42.0013,33.37,86,29,4.43
227,Okhotsk,RU,59.3833,143.3,-16.47,88,78,8.63
228,Camana,PE,-16.6228,-72.7111,69.39,81,97,6.78
229,Tuktoyaktuk,CA,69.4541,-133.0374,-18.42,94,94,11.36
230,Horta,PT,38.5333,-28.6333,60.03,81,40,11.01
231,Kaputa,ZM,-8.4689,29.6619,66.22,86,86,2.37
232,Boa Vista,BR,2.8197,-60.6733,75.18,88,75,2.3
233,Neiafu,TO,-18.65,-173.9833,86.68,79,75,10.36
234,Saint-Philippe,RE,-21.3585,55.7679,74.79,87,43,13.49
235,Villa Carlos Paz,AR,-31.4241,-64.4978,80.38,37,6,1.99
236,Salalah,OM,17.0151,54.0924,73.49,78,20,4.61
237,Jalu,LY,29.0331,21.5482,64.09,40,84,10.47
238,Sechura,PE,-5.5569,-80.8222,66.22,80,97,14.05
239,Siloam Springs,US,36.1881,-94.5405,54.05,99,100,3.44
240,Meulaboh,ID,4.1363,96.1285,76.93,86,100,1.66
241,La Ronge,CA,55.1001,-105.2842,-9.15,100,91,3.53
242,Ulaangom,MN,49.9811,92.0667,-12.69,94,100,0.63
243,Gigmoto,PH,13.7796,124.39,80.28,85,100,10.2
244,Libertador General San Martin,AR,-23.8064,-64.7876,90.97,34,24,3.98
245,Plyussa,RU,58.4308,29.3654,26.11,93,100,13.38
246,Coquimbo,CL,-29.9533,-71.3436,58.73,100,0,9.22
247,Ulladulla,AU,-35.35,150.4667,67.71,30,67,13.6
248,Geraldton,AU,-28.7667,114.6,73.81,60,100,16.11
249,Havoysund,NO,70.9963,24.6622,37.63,82,98,32.61
250,Nikolskoye,RU,59.7035,30.7861,24.69,89,100,12.41
251,Carutapera,BR,-1.195,-46.02,77.4,84,100,4.79
252,Yarada,IN,17.65,83.2667,73.72,43,40,5.75
253,Rundu,NA,-17.9333,19.7667,67.55,72,15,3.89
254,Ginir,ET,7.1333,40.7,55.85,60,68,4.54
255,Kindu,CD,-2.95,25.95,69.85,99,100,2.21
256,Sept-Iles,CA,50.2001,-66.3821,36.05,98,100,5.01
257,Ostrovnoy,RU,68.0531,39.5131,20.21,92,67,8.25
258,Khuzhir,RU,53.1939,107.3397,16.5,64,100,12.55
259,Manzil Kamil,TN,35.6248,10.6673,53.04,94,11,4.61
260,Merauke,ID,-8.4667,140.3333,85.42,61,99,7.2
261,Kargil,IN,34.5667,76.1,19.74,39,54,1.72
262,Pingzhuang,CN,42.0372,119.2889,24.24,36,0,2.15
263,San Ciro De Acosta,MX,21.6333,-99.8167,62.02,91,2,3.22
264,Ranfurly,NZ,-45.1333,170.1,70.11,55,100,7.9
265,Staraya Poltavka,RU,50.4772,46.4814,11.37,84,5,8.61
266,Saint-Georges,GD,12.0564,-61.7485,74.88,88,20,2.3
267,Tual,ID,-5.6667,132.75,83.43,70,54,7.67
268,Deputatskiy,RU,69.3,139.9,-22.67,96,100,5.59
269,Sao Tome,ST,0.3365,6.7273,78.17,85,100,0.92
270,Isoka,ZM,-10.1606,32.6335,61.57,79,10,1.07
271,Salinopolis,BR,-0.6136,-47.3561,79.07,82,92,8.5
272,Nouakchott,MR,18.0858,-15.9785,71.53,72,6,10.85
273,Mayo,US,38.8876,-76.5119,57.15,95,100,5.75
274,Msanga,TZ,-6.05,36.0333,66.47,88,7,4.97
275,Port Hardy,CA,50.6996,-127.4199,41.18,87,100,31.07
276,Esperance,AU,-33.8667,121.9,70.32,58,85,17.58
277,Simao,CN,22.7886,100.9748,62.55,83,27,1.66
278,Kholm-Zhirkovskiy,RU,55.5189,33.4731,21.78,93,100,15.21
279,Miri,MY,4.4148,114.0089,80.17,85,100,11.14
280,Inuvik,CA,68.3499,-133.7218,-24.43,91,21,4.45
281,Verkhnyaya Inta,RU,65.9811,60.3094,16.21,93,100,20.58
282,Mbini,GQ,1.574,9.6134,77.7,84,100,4.12
283,Khatanga,RU,71.9667,102.5,-28.91,89,15,8.72
284,Suntar,RU,62.1444,117.6319,-14.48,96,100,5.06
285,Puerto Carreno,CO,6.189,-67.4859,76.57,82,100,4.07
286,Qandala,SO,11.472,49.8728,74.03,80,56,1.95
287,Doka,SD,13.5167,35.7667,73.58,55,44,9.57
288,Goma,CD,-1.6792,29.2228,59.9,89,98,2.8
289,Aloleng,PH,16.1307,119.7824,84.11,65,93,4.63
290,Anan,JP,33.9167,134.65,55.8,51,37,14.45
291,Chuy,UY,-33.6971,-53.4616,65.14,93,11,9.98
292,Taltal,CL,-25.4,-70.4833,64.38,82,19,2.08
293,Komsomolskiy,UZ,40.4272,71.7189,32.72,93,75,2.3
294,Sundumbili,ZA,-29.1337,31.3975,68.79,93,74,3.18
295,New Iberia,US,30.0035,-91.8187,72.1,88,0,4.61
296,Port Macquarie,AU,-31.4333,152.9167,80.89,52,24,15.23
297,Ler,SS,8.3018,30.1418,72.46,34,93,5.99
298,Simpang,ID,-1.2667,104.0833,80.8,84,100,2.82
299,Bar Harbor,US,44.3876,-68.2039,52.34,99,100,10.36
300,Novikovo,RU,51.1537,37.8879,20.12,84,100,14.94
301,Halifax,CA,44.6453,-63.5724,47.44,97,100,11.99
302,Talnakh,RU,69.4865,88.3972,-20.79,100,100,2.82
303,San Ramon,US,37.7799,-121.978,51.3,82,0,4.61
304,Guider,CM,9.9342,13.9486,71.2,19,100,6.26
305,Ismailia,EG,30.6043,32.2723,57.04,80,0,3.42
306,Cabo San Lucas,MX,22.8909,-109.9124,77.5,82,0,0.0
307,Krasnoselkup,RU,65.7,82.4667,10.4,94,100,15.57
308,Karratha,AU,-20.7377,116.8463,90.3,28,0,12.3
309,Cabedelo,BR,-6.9811,-34.8339,77.67,79,8,10.2
310,Linden,GY,6.0,-58.3,73.26,99,98,2.93
311,Surt,LY,31.2089,16.5887,65.71,73,20,17.49
312,Nhulunbuy,AU,-12.2333,136.7667,92.01,49,20,5.75
313,Atasu,KZ,48.6814,71.6433,-7.4,99,100,2.71
314,Palmeiras De Goias,BR,-16.805,-49.9258,71.82,77,94,1.99
315,Wakuya,JP,38.5333,141.1333,44.65,61,9,16.51
316,Madang,PG,-5.2246,145.7966,83.32,77,60,3.6
317,Sawakin,SD,19.1059,37.3321,76.42,71,80,9.91
318,Nabire,ID,-3.3667,135.4833,82.08,69,100,1.86
319,Hovd,MN,48.0056,91.6419,-3.19,85,52,4.05
320,Atar,MR,20.5169,-13.0499,76.15,36,99,2.73
321,Diamantino,BR,-14.4086,-56.4461,76.78,77,97,1.21
322,Upata,VE,8.0086,-62.3989,74.19,94,100,2.91
323,Novobirilyussy,RU,56.9514,90.6661,5.52,93,100,11.27
324,Andenes,NO,69.3143,16.1194,33.78,64,75,23.02
325,Lethem,GY,3.3803,-59.7968,76.05,85,100,5.88
326,Avarua,CK,-21.2078,-159.775,82.45,74,40,9.22
327,Ranong,TH,9.9658,98.6348,77.49,88,100,6.51
328,Pisco,PE,-13.7,-76.2167,66.25,82,0,2.3
329,Uruzgan,AF,32.8333,66.0,41.79,69,100,2.01
330,Ankazobe,MG,-18.3167,47.1167,59.81,88,22,4.97
331,Hami,CN,42.8,93.45,23.14,45,65,4.43
332,Oussouye,SN,12.485,-16.5469,75.36,77,0,6.55
333,Souillac,MU,-20.5167,57.5167,75.97,82,41,18.03
334,Sisimiut,GL,66.9395,-53.6735,27.88,69,100,11.99
335,Narsaq,GL,60.9167,-46.05,21.42,69,67,6.78
336,Saint-Augustin,CA,51.226,-58.6502,31.42,93,100,5.03
337,Ushirombo,TZ,-3.4919,31.9639,62.87,94,37,2.06
338,La Tuque,CA,47.4334,-72.7824,35.42,98,100,6.53
339,Paldiski,EE,59.3567,24.0531,24.85,93,75,4.61
340,Callaguip,PH,18.0714,120.4867,82.42,74,75,12.66
341,Sola,VU,-13.8833,167.55,82.47,72,25,8.14
342,Port Hedland,AU,-20.3167,118.5667,96.85,24,2,9.22
343,Mnogovershinnyy,RU,53.9353,139.9242,-4.95,86,32,6.53
344,Barcelos,PT,41.5388,-8.6151,55.54,85,100,10.31
345,Cherskiy,RU,68.75,161.3,-29.11,99,23,4.09
346,Beloha,MG,-25.1667,45.05,74.61,76,0,4.72
347,Cap Malheureux,MU,-19.9842,57.6142,77.47,75,19,8.99
348,Ashqelon,IL,31.6693,34.5715,57.09,76,1,2.19
349,Gagra,GE,43.3283,40.2239,43.72,62,33,5.39
350,Misratah,LY,32.3754,15.0925,65.61,76,91,19.3
