City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Sembe,1.6481,14.5806,69.84,94,100,1.83,CG
1,Busselton,-33.65,115.3333,71.85,56,0,9.33,AU
2,Hilo,19.7297,-155.09,77.29,82,75,9.22,US
3,Karlskoga,59.3267,14.5239,7.92,81,1,1.92,SE
4,Atuona,-9.8,-139.0333,78.33,73,18,17.47,PF
5,Kavieng,-2.5744,150.7967,83.28,70,100,5.37,PG
6,Shimoda,34.6667,138.95,58.1,50,0,14.52,JP
7,Leningradskiy,69.3833,178.4167,-12.3,100,98,5.06,RU
8,Buncrana,55.1333,-7.45,39.58,77,100,10.33,IE
9,Bridlington,54.0831,-0.1919,34.14,95,83,10.0,GB
10,Mfou,3.7159,11.6427,66.88,97,100,1.63,CM
11,Port Lincoln,-34.7333,135.8667,61.36,52,6,12.46,AU
12,Hasanabad,36.5465,61.0543,33.98,62,17,3.22,IR
13,Airai,-8.9266,125.4092,76.42,39,99,2.46,TL
14,Hobart,-42.8794,147.3294,55.26,54,75,19.57,AU
15,Vostok,46.4856,135.8833,9.19,79,36,3.76,RU
16,Bluff,-46.6,168.3333,64.18,64,100,4.27,NZ
17,Punta Arenas,-53.15,-70.9167,42.91,65,0,13.8,CL
18,Chokurdakh,70.6333,147.9167,-21.17,98,80,6.4,RU
19,Kaitangata,-46.2817,169.8464,69.49,50,100,10.36,NZ
20,Bredasdorp,-34.5322,20.0403,60.21,92,92,4.07,ZA
21,New Norfolk,-42.7826,147.0587,54.9,50,58,4.0,AU
22,Ushuaia,-54.8,-68.3,34.11,89,10,2.21,AR
23,Carman,49.4992,-98.0016,-5.12,77,11,13.98,CA
24,Ilulissat,69.2167,-51.1,33.82,64,100,18.41,GL
25,Port Alfred,-33.5906,26.891,68.18,94,100,1.99,ZA
26,Hithadhoo,-0.6,73.0833,81.16,76,100,16.55,MV
27,Lompoc,34.6391,-120.4579,52.79,87,0,1.01,US
28,Jamestown,42.097,-79.2353,43.02,78,100,6.91,US
29,Mataura,-46.1927,168.8643,71.8,48,100,3.38,NZ
30,Perth,-31.9333,115.8333,77.18,50,20,12.66,AU
31,Kahului,20.8947,-156.47,78.96,77,92,14.0,US
32,Puerto Ayora,-0.7393,-90.3518,70.56,94,16,3.0,EC
33,Praia,14.9215,-23.5087,74.16,81,51,8.43,CV
34,Rikitea,-23.1203,-134.9692,75.67,80,6,19.04,PF
35,Kichera,55.9375,110.0997,3.85,83,99,2.62,RU
36,Biak,-0.9131,122.8766,82.87,62,81,3.33,ID
37,Hermanus,-34.4187,19.2345,61.81,89,100,9.66,ZA
38,Kapaa,22.0752,-159.319,82.38,80,75,17.27,US
39,Nacala,-14.5428,40.6728,74.3,93,0,2.95,MZ
40,Oktyabrskiy,54.4815,53.471,-5.76,97,12,4.25,RU
41,Radom,51.4025,21.1471,32.27,89,90,13.0,PL
42,Georgetown,5.4112,100.3354,84.13,78,20,5.75,MY
43,Fort Nelson,58.8053,-122.7002,-0.06,84,100,1.99,CA
44,Tautira,-17.7333,-149.15,79.41,82,100,16.69,PF
45,Bethel,41.3712,-73.414,57.2,89,100,8.05,US
46,Sokur,55.2093,83.319,-8.46,96,32,9.44,RU
47,Izhma,65.0083,53.9113,19.99,95,100,7.54,RU
48,Iqaluit,63.7506,-68.5145,13.69,85,100,4.0,CA
49,Blackwater,-23.5833,148.8833,101.08,21,7,13.56,AU
50,Mindif,10.3976,14.4363,69.04,20,100,8.97,CM
51,Castro,-24.7911,-50.0119,64.04,99,21,5.95,BR
52,Sitka,57.0531,-135.33,44.49,70,100,12.66,US
53,Barrow,71.2906,-156.7887,14.02,85,100,17.27,US
54,Saskylakh,71.9167,114.0833,-29.13,100,100,6.29,RU
55,Moindou,-21.6924,165.677,81.46,77,50,6.55,NC
56,Evensk,61.95,159.2333,10.06,95,100,9.26,RU
57,Krasnyy Oktyabr,56.1167,38.8833,14.72,78,69,12.39,RU
58,Port Elizabeth,-33.918,25.5701,70.11,91,47,8.01,ZA
59,Hamilton,39.1834,-84.5333,49.98,91,100,8.05,US
60,Victoria,22.2855,114.1577,69.24,76,13,4.0,HK
61,Zhuhai,22.2769,113.5678,65.98,82,20,14.97,CN
62,Torbay,47.6666,-52.7314,37.76,96,100,3.0,CA
63,Nome,64.5011,-165.4064,15.87,86,0,6.91,US
64,Tirur,10.9,75.9167,70.79,72,96,3.87,IN
65,Mount Isa,-20.7333,139.5,101.97,15,6,5.75,AU
66,Vung Tau,10.346,107.0843,79.03,81,77,5.39,VN
67,Pevek,69.7008,170.3133,-10.43,97,95,2.01,RU
68,Axim,4.8699,-2.2405,78.17,86,80,5.55,GH
69,Lebu,-37.6167,-73.65,60.24,98,100,12.17,CL
70,Dikson,73.5069,80.5464,-13.99,97,98,18.52,RU
71,Sao Filipe,14.8961,-24.4956,74.84,78,21,2.89,CV
72,Cape Town,-33.9258,18.4232,69.39,72,99,10.0,ZA
73,Husavik,66.0449,-17.3389,26.22,70,100,8.86,IS
74,Ende,-8.8432,121.6623,86.31,58,10,4.41,ID
75,Mar Del Plata,-38.0023,-57.5575,75.22,83,40,19.57,AR
76,College,64.8569,-147.8028,21.58,90,100,3.44,US
77,Carnarvon,-24.8667,113.6333,73.89,59,42,14.0,AU
78,Nazareno,25.3833,-103.4167,72.5,44,0,2.66,MX
79,Arraial Do Cabo,-22.9661,-42.0278,73.58,91,0,12.62,BR
80,Bilibino,68.0546,166.4372,-29.42,97,18,4.76,RU
81,Oytal,42.9057,73.2697,22.21,90,100,2.95,KZ
82,Nanortalik,60.1432,-45.2371,25.95,75,93,4.47,GL
83,Stodolishche,54.1859,32.6492,23.95,94,100,15.55,RU
84,Rocha,-34.4833,-54.3333,63.43,79,47,11.05,UY
85,Kirkwall,58.9848,-2.9587,41.05,81,75,25.32,GB
86,Verdun,49.25,5.3333,38.16,95,100,4.65,FR
87,Klaksvik,62.2266,-6.589,32.92,71,100,31.72,FO
88,Puerto Escondido,15.85,-97.0667,79.63,73,0,0.0,MX
89,Poum,-20.2333,164.0167,80.53,77,2,6.11,NC
90,Erenhot,43.6475,111.9767,13.77,56,2,7.25,CN
91,Bafq,31.6128,55.4107,46.09,58,9,2.82,IR
92,Gornopravdinsk,60.05,69.9,1.92,92,40,8.34,RU
93,Waingapu,-9.6567,120.2641,86.36,53,63,5.77,ID
94,Yumen,40.2833,97.2,16.11,78,47,2.95,CN
95,Mocuba,-16.8392,36.9856,70.57,94,94,1.9,MZ
96,Bengkulu,-3.8004,102.2655,80.46,75,88,3.2,ID
97,Grakhovo,56.0502,51.9676,-4.68,99,30,4.97,RU
98,Guerrero Negro,27.9769,-114.0611,61.34,69,0,13.87,MX
99,Tasiilaq,65.6145,-37.6368,23.16,68,39,4.21,GL
100,Fortuna,40.5982,-124.1573,48.65,86,100,3.44,US
101,Clarence Town,-32.5833,151.7833,75.15,21,5,8.86,AU
102,Granja,-3.1203,-40.8261,78.75,78,49,5.77,BR
103,Luderitz,-26.6481,15.1594,57.87,76,0,7.23,NA
104,Tiksi,71.6872,128.8694,-6.88,98,100,11.99,RU
105,Albany,42.6001,-73.9662,52.57,87,100,5.99,US
106,Harper,4.375,-7.7169,77.54,87,30,5.39,LR
107,Bilsanda,28.25,79.95,55.47,57,0,4.63,IN
108,Vaini,-21.2,-175.2,84.36,84,75,4.61,TO
109,Maniitsoq,65.4167,-52.9,33.26,77,100,17.67,GL
110,Tucumcari,35.1717,-103.725,48.04,87,0,9.22,US
111,Berlevag,70.8578,29.0864,35.55,69,100,28.77,NO
112,Kurdzhinovo,43.9884,40.9552,35.24,72,77,4.5,RU
113,Chicama,-7.8447,-79.1469,63.14,82,100,5.19,PE
114,Ambilobe,-13.2,49.05,71.56,89,0,2.37,MG
115,East London,-33.0153,27.9116,70.09,82,100,11.3,ZA
116,Ponta Do Sol,32.6667,-17.1,65.71,82,80,16.35,PT
117,Port Augusta,-32.5,137.7667,70.11,28,0,14.43,AU
118,Half Moon Bay,37.4636,-122.4286,52.79,86,0,3.44,US
119,Isangel,-19.55,169.2667,89.71,70,75,4.61,VU
120,La Rioja,42.25,-2.5,38.98,90,81,6.46,ES
121,Ghanzi,-21.5667,21.7833,72.27,59,5,12.39,BW
122,Mahebourg,-20.4081,57.7,76.24,81,32,19.3,MU
123,Ereymentau,51.6199,73.1033,-14.98,100,31,3.36,KZ
124,Yellowknife,62.456,-114.3525,-21.44,74,25,5.01,CA
125,Marrakesh,31.6315,-8.0083,60.87,63,40,4.61,MA
126,Provideniya,64.3833,-173.3,21.36,63,100,11.01,RU
127,Qaanaaq,77.484,-69.3632,14.38,74,100,3.18,GL
128,Avera,33.194,-82.5271,66.54,85,92,5.41,US
129,Rochegda,62.8,43.25,16.2,83,90,7.99,RU
130,Kudahuvadhoo,2.6708,72.8944,81.3,80,100,13.96,MV
131,Roald,62.5833,6.1333,35.76,93,75,8.05,NO
132,Inhambane,-23.865,35.3833,75.85,85,23,5.14,MZ
133,Severo-Kurilsk,50.6789,156.125,28.44,65,78,20.27,RU
134,Roma,43.2128,-75.4557,45.95,96,100,9.22,US
135,Haines Junction,60.7522,-137.5108,16.52,97,99,1.39,CA
136,Upington,-28.4478,21.2561,71.92,49,87,8.77,ZA
137,Bagru,26.8088,75.5423,52.14,32,0,5.46,IN
138,Katobu,-4.9408,122.5276,87.35,54,91,2.55,ID
139,Konevo,62.1215,39.3192,16.47,83,18,10.18,RU
140,Ribeira Grande,38.5167,-28.7,59.77,82,40,11.01,PT
141,Port Blair,11.6667,92.75,80.37,80,45,7.43,IN
142,Cidreira,-30.1811,-50.2056,69.87,92,5,9.53,BR
143,Bambous Virieux,-20.3428,57.7575,76.21,81,37,19.01,MU
144,Olgod,55.8068,8.6286,30.06,87,100,3.71,DK
145,Faanui,-16.4833,-151.75,80.71,77,100,17.02,PF
146,Mwene-Ditu,-7.0,23.45,62.98,97,100,3.47,CD
147,Ahipara,-35.1667,173.1667,62.94,82,100,14.56,NZ
148,Kodiak,57.79,-152.4072,31.51,51,20,29.93,US
149,Huangchuan,32.1272,115.0394,49.3,64,99,3.0,CN
150,Tomatlan,19.9333,-105.25,71.82,94,0,1.63,MX
151,Binga,-17.6203,27.3414,73.17,73,100,0.94,ZW
152,Pringsewu,-5.3582,104.9744,77.61,89,100,3.8,ID
153,Grand Gaube,-20.0064,57.6608,76.37,75,20,11.01,MU
154,Upernavik,72.7868,-56.1549,24.64,72,100,17.65,GL
155,Taoudenni,22.6783,-3.9836,78.73,14,86,7.92,ML
156,Thompson,55.7435,-97.8558,-7.24,97,100,8.01,CA
157,Portland,45.5234,-122.6762,39.81,90,100,5.75,US
158,Tura,25.5198,90.2201,64.58,77,39,1.77,IN
159,Hangu,39.2489,117.7892,37.44,25,46,4.21,CN
160,Zeya,53.75,127.2667,-4.94,93,35,1.12,RU
161,Sao Domingos,-13.3983,-46.3183,70.92,84,69,2.62,BR
162,Longyearbyen,78.2186,15.6401,21.04,68,75,12.66,SJ
163,Harnosand,62.6323,17.9379,10.4,80,100,11.07,SE
164,Price,39.5994,-110.8107,31.26,86,100,0.0,US
165,Zunyi,27.6867,106.9072,45.72,80,100,0.89,CN
166,Heihe,50.2441,127.4902,5.58,82,5,3.2,CN
167,Jumla,29.2747,82.1838,41.02,19,0,5.44,NP
168,Dunmore Town,25.5,-76.65,75.54,62,0,20.98,BS
169,Sochi,43.6,39.7303,44.69,62,72,4.74,RU
170,Sanming,26.2486,117.6186,57.87,89,98,1.61,CN
171,Colwyn Bay,53.2948,-3.7267,37.9,41,96,5.01,GB
172,Beringovskiy,63.05,179.3167,7.16,85,3,5.3,RU
173,Vardo,70.3705,31.1107,35.58,75,100,25.32,NO
174,Hasaki,35.7333,140.8333,55.29,43,0,8.99,JP
175,Itoman,26.1247,127.6694,75.22,57,40,20.71,JP
176,Zabaykalsk,49.6333,117.3167,5.25,88,36,13.6,RU
177,Kruisfontein,-34.0033,24.7314,67.89,78,73,5.57,ZA
178,Khargone,21.8167,75.6,59.76,42,90,5.82,IN
179,Troina,37.7854,14.5985,43.77,86,97,3.6,IT
180,Gao,16.6362,1.637,71.51,15,0,11.32,ML
181,Abu Dhabi,24.4667,54.3667,73.42,79,0,3.44,AE
182,Puerto Leguizamo,-0.1934,-74.7819,70.68,99,99,2.53,CO
183,Pacific Grove,36.6177,-121.9166,51.48,84,0,4.61,US
184,El Tigre,8.8875,-64.2454,74.8,70,100,6.04,VE
185,Goundam,16.4145,-3.6708,75.76,17,0,7.56,ML
186,Lata,40.1629,-8.3327,54.07,92,100,7.4,PT
187,Pontal Do Parana,-25.6533,-48.5128,72.52,90,94,4.36,BR
188,Teeli,51.0333,90.2333,-9.24,98,100,0.43,RU
189,Lonavale,18.75,73.4167,62.67,70,65,6.38,IN
190,Morant Bay,17.8815,-76.4093,76.71,78,19,16.78,JM
191,Honiara,-9.4333,159.95,84.36,75,90,4.05,SB
192,Brigantine,39.4101,-74.3646,57.06,98,100,11.5,US
193,Lensk,60.7253,114.9278,13.77,93,100,12.66,RU
194,Matara,5.9485,80.5353,77.59,70,100,15.14,LK
195,Adrar,20.5022,-10.0711,77.45,35,49,3.98,MR
196,Bankura,23.25,87.0667,60.94,41,100,5.75,IN
197,Katsuura,35.1333,140.3,56.14,56,0,1.83,JP
198,Trairi,-3.2778,-39.2689,79.83,77,56,12.28,BR
199,Chunhuhub,19.55,-88.6833,70.7,91,1,3.13,MX
200,Sao Joao Da Barra,-21.6403,-41.0511,72.41,94,100,9.31,BR
201,Khandyga,62.6667,135.6,-27.17,99,100,2.3,RU
202,Sawtell,-30.3833,153.1,85.19,69,40,12.66,AU
203,San Andres,12.5847,-81.7006,80.62,78,20,11.5,CO
204,Fare,-16.7,-151.0167,81.1,75,100,16.82,PF
205,Saldanha,-33.0117,17.9442,62.2,91,35,8.81,ZA
206,Bud,39.447,-86.1758,43.75,94,100,5.23,US
207,Faya,18.3851,42.4509,52.32,72,9,1.74,SA
208,Shingu,33.7333,135.9833,56.89,41,6,1.79,JP
209,Mana,5.6592,-53.7767,77.07,89,100,8.63,GF
210,Acapulco,16.8634,-99.8901,80.42,78,0,3.44,MX
211,Olafsvik,64.8945,-23.7142,31.39,65,21,15.97,IS
212,Clonakilty,51.6231,-8.8706,34.81,88,6,8.79,IE
213,Noumea,-22.2763,166.4572,82.99,99,54,11.12,NC
214,San Cristobal,7.7669,-72.225,66.38,95,73,2.82,VE
215,Butaritari,3.0707,172.7902,80.58,79,96,13.06,KI
216,Letterkenny,54.95,-7.7333,40.5,77,100,8.05,IE
217,Norman Wells,65.282,-126.8329,-19.98,86,90,7.52,CA
218,Paysandu,-32.3214,-58.0756,81.88,24,7,11.34,UY
219,Shahr-E Babak,30.1165,55.1186,42.48,89,39,1.92,IR
220,Tigil,57.8,158.6667,18.7,94,100,4.79,RU
221,Dwarka,22.2394,68.9678,72.73,57,0,9.13,IN
222,Bathsheba,13.2167,-59.5167,77.05,87,20,6.91,BB
223,Fernie,49.5,-115.0687,12.61,98,100,1.48,CA
224,Asfi,32.2994,-9.2372,68.05,62,100,26.96,MA
225,Muswellbrook,-32.2667,150.9,78.42,20,5,12.46,AU
226,Oltu,40.5498,42.0013,33.37,86,29,4.43,TR
227,Okhotsk,59.3833,143.3,-16.47,88,78,8.63,RU
228,Camana,-16.6228,-72.7111,69.39,81,97,6.78,PE
229,Tuktoyaktuk,69.4541,-133.0374,-18.42,94,94,11.36,CA
230,Horta,38.5333,-28.6333,60.03,81,40,11.01,PT
231,Kaputa,-8.4689,29.6619,66.22,86,86,2.37,ZM
232,Boa Vista,2.8197,-60.6733,75.18,88,75,2.3,BR
233,Neiafu,-18.65,-173.9833,86.68,79,75,10.36,TO
234,Saint-Philippe,-21.3585,55.7679,74.79,87,43,13.49,RE
235,Villa Carlos Paz,-31.4241,-64.4978,80.38,37,6,1.99,AR
236,Salalah,17.0151,54.0924,73.49,78,20,4.61,OM
237,Jalu,29.0331,21.5482,64.09,40,84,10.47,LY
238,Sechura,-5.5569,-80.8222,66.22,80,97,14.05,PE
239,Siloam Springs,36.1881,-94.5405,54.05,99,100,3.44,US
240,Meulaboh,4.1363,96.1285,76.93,86,100,1.66,ID
241,La Ronge,55.1001,-105.2842,-9.15,100,91,3.53,CA
242,Ulaangom,49.9811,92.0667,-12.69,94,100,0.63,MN
243,Gigmoto,13.7796,124.39,80.28,85,100,10.2,PH
244,Libertador General San Martin,-23.8064,-64.7876,90.97,34,24,3.98,AR
245,Plyussa,58.4308,29.3654,26.11,93,100,13.38,RU
246,Coquimbo,-29.9533,-71.3436,58.73,100,0,9.22,CL
247,Ulladulla,-35.35,150.4667,67.71,30,67,13.6,AU
248,Geraldton,-28.7667,114.6,73.81,60,100,16.11,AU
249,Havoysund,70.9963,24.6622,37.63,82,98,32.61,NO
250,Nikolskoye,59.7035,30.7861,24.69,89,100,12.41,RU
251,Carutapera,-1.195,-46.02,77.4,84,100,4.79,BR
252,Yarada,17.65,83.2667,73.72,43,40,5.75,IN
253,Rundu,-17.9333,19.7667,67.55,72,15,3.89,NA
254,Ginir,7.1333,40.7,55.85,60,68,4.54,ET
255,Kindu,-2.95,25.95,69.85,99,100,2.21,CD
256,Sept-Iles,50.2001,-66.3821,36.05,98,100,5.01,CA
257,Ostrovnoy,68.0531,39.5131,20.21,92,67,8.25,RU
258,Khuzhir,53.1939,107.3397,16.5,64,100,12.55,RU
259,Manzil Kamil,35.6248,10.6673,53.04,94,11,4.61,TN
260,Merauke,-8.4667,140.3333,85.42,61,99,7.2,ID
261,Kargil,34.5667,76.1,19.74,39,54,1.72,IN
262,Pingzhuang,42.0372,119.2889,24.24,36,0,2.15,CN
263,San Ciro De Acosta,21.6333,-99.8167,62.02,91,2,3.22,MX
264,Ranfurly,-45.1333,170.1,70.11,55,100,7.9,NZ
265,Staraya Poltavka,50.4772,46.4814,11.37,84,5,8.61,RU
266,Saint-Georges,12.0564,-61.7485,74.88,88,20,2.3,GD
267,Tual,-5.6667,132.75,83.43,70,54,7.67,ID
268,Deputatskiy,69.3,139.9,-22.67,96,100,5.59,RU
269,Sao Tome,0.3365,6.7273,78.17,85,100,0.92,ST
270,Isoka,-10.1606,32.6335,61.57,79,10,1.07,ZM
271,Salinopolis,-0.6136,-47.3561,79.07,82,92,8.5,BR
272,Nouakchott,18.0858,-15.9785,71.53,72,6,10.85,MR
273,Mayo,38.8876,-76.5119,57.15,95,100,5.75,US
274,Msanga,-6.05,36.0333,66.47,88,7,4.97,TZ
275,Port Hardy,50.6996,-127.4199,41.18,87,100,31.07,CA
276,Esperance,-33.8667,121.9,70.32,58,85,17.58,AU
277,Simao,22.7886,100.9748,62.55,83,27,1.66,CN
278,Kholm-Zhirkovskiy,55.5189,33.4731,21.78,93,100,15.21,RU
279,Miri,4.4148,114.0089,80.17,85,100,11.14,MY
280,Inuvik,68.3499,-133.7218,-24.43,91,21,4.45,CA
281,Verkhnyaya Inta,65.9811,60.3094,16.21,93,100,20.58,RU
282,Mbini,1.574,9.6134,77.7,84,100,4.12,GQ
283,Khatanga,71.9667,102.5,-28.91,89,15,8.72,RU
284,Suntar,62.1444,117.6319,-14.48,96,100,5.06,RU
285,Puerto Carreno,6.189,-67.4859,76.57,82,100,4.07,CO
286,Qandala,11.472,49.8728,74.03,80,56,1.95,SO
287,Doka,13.5167,35.7667,73.58,55,44,9.57,SD
288,Goma,-1.6792,29.2228,59.9,89,98,2.8,CD
289,Aloleng,16.1307,119.7824,84.11,65,93,4.63,PH
290,Anan,33.9167,134.65,55.8,51,37,14.45,JP
291,Chuy,-33.6971,-53.4616,65.14,93,11,9.98,UY
292,Taltal,-25.4,-70.4833,64.38,82,19,2.08,CL
293,Komsomolskiy,40.4272,71.7189,32.72,93,75,2.3,UZ
294,Sundumbili,-29.1337,31.3975,68.79,93,74,3.18,ZA
295,New Iberia,30.0035,-91.8187,72.1,88,0,4.61,US
296,Port Macquarie,-31.4333,152.9167,80.89,52,24,15.23,AU
297,Ler,8.3018,30.1418,72.46,34,93,5.99,SS
298,Simpang,-1.2667,104.0833,80.8,84,100,2.82,ID
299,Bar Harbor,44.3876,-68.2039,52.34,99,100,10.36,US
300,Novikovo,51.1537,37.8879,20.12,84,100,14.94,RU
301,Halifax,44.6453,-63.5724,47.44,97,100,11.99,CA
302,Talnakh,69.4865,88.3972,-20.79,100,100,2.82,RU
303,San Ramon,37.7799,-121.978,51.3,82,0,4.61,US
304,Guider,9.9342,13.9486,71.2,19,100,6.26,CM
305,Ismailia,30.6043,32.2723,57.04,80,0,3.42,EG
306,Cabo San Lucas,22.8909,-109.9124,77.5,82,0,0.0,MX
307,Krasnoselkup,65.7,82.4667,10.4,94,100,15.57,RU
308,Karratha,-20.7377,116.8463,90.3,28,0,12.3,AU
309,Cabedelo,-6.9811,-34.8339,77.67,79,8,10.2,BR
310,Linden,6.0,-58.3,73.26,99,98,2.93,GY
311,Surt,31.2089,16.5887,65.71,73,20,17.49,LY
312,Nhulunbuy,-12.2333,136.7667,92.01,49,20,5.75,AU
313,Atasu,48.6814,71.6433,-7.4,99,100,2.71,KZ
314,Palmeiras De Goias,-16.805,-49.9258,71.82,77,94,1.99,BR
315,Wakuya,38.5333,141.1333,44.65,61,9,16.51,JP
316,Madang,-5.2246,145.7966,83.32,77,60,3.6,PG
317,Sawakin,19.1059,37.3321,76.42,71,80,9.91,SD
318,Nabire,-3.3667,135.4833,82.08,69,100,1.86,ID
319,Hovd,48.0056,91.6419,-3.19,85,52,4.05,MN
320,Atar,20.5169,-13.0499,76.15,36,99,2.73,MR
321,Diamantino,-14.4086,-56.4461,76.78,77,97,1.21,BR
322,Upata,8.0086,-62.3989,74.19,94,100,2.91,VE
323,Novobirilyussy,56.9514,90.6661,5.52,93,100,11.27,RU
324,Andenes,69.3143,16.1194,33.78,64,75,23.02,NO
325,Lethem,3.3803,-59.7968,76.05,85,100,5.88,GY
326,Avarua,-21.2078,-159.775,82.45,74,40,9.22,CK
327,Ranong,9.9658,98.6348,77.49,88,100,6.51,TH
328,Pisco,-13.7,-76.2167,66.25,82,0,2.3,PE
329,Uruzgan,32.8333,66.0,41.79,69,100,2.01,AF
330,Ankazobe,-18.3167,47.1167,59.81,88,22,4.97,MG
331,Hami,42.8,93.45,23.14,45,65,4.43,CN
332,Oussouye,12.485,-16.5469,75.36,77,0,6.55,SN
333,Souillac,-20.5167,57.5167,75.97,82,41,18.03,MU
334,Sisimiut,66.9395,-53.6735,27.88,69,100,11.99,GL
335,Narsaq,60.9167,-46.05,21.42,69,67,6.78,GL
336,Saint-Augustin,51.226,-58.6502,31.42,93,100,5.03,CA
337,Ushirombo,-3.4919,31.9639,62.87,94,37,2.06,TZ
338,La Tuque,47.4334,-72.7824,35.42,98,100,6.53,CA
339,Paldiski,59.3567,24.0531,24.85,93,75,4.61,EE
340,Callaguip,18.0714,120.4867,82.42,74,75,12.66,PH
341,Sola,-13.8833,167.55,82.47,72,25,8.14,VU
342,Port Hedland,-20.3167,118.5667,96.85,24,2,9.22,AU
343,Mnogovershinnyy,53.9353,139.9242,-4.95,86,32,6.53,RU
344,Barcelos,41.5388,-8.6151,55.54,85,100,10.31,PT
345,Cherskiy,68.75,161.3,-29.11,99,23,4.09,RU
346,Beloha,-25.1667,45.05,74.61,76,0,4.72,MG
347,Cap Malheureux,-19.9842,57.6142,77.47,75,19,8.99,MU
348,Ashqelon,31.6693,34.5715,57.09,76,1,2.19,IL
349,Gagra,43.3283,40.2239,43.72,62,33,5.39,GE
350,Misratah,32.3754,15.0925,65.61,76,91,19.3,LY
